,neighborhood,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,maid_room,concierge,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,shared_pool,cluster
1691,Greens,1790000,2128,841.17,3,4,False,False,True,False,False,False,False,True,1
1692,Downtown Dubai,1586888,607,2614.31,1,2,False,False,False,False,False,False,False,False,2
1693,Jumeirah Beach Residence,2000000,2921,684.7,3,3,False,False,False,False,False,False,False,True,1
1694,Motor City,1175000,2218,529.76,2,3,False,False,False,False,False,False,False,False,1
1695,Motor City,900000,1550,580.65,2,3,False,False,False,False,False,False,False,False,1
1696,Downtown Dubai,11000000,3134,3509.89,5,6,False,False,False,False,False,False,False,True,0
1697,Business Bay,850000,455,1868.13,0,1,False,False,False,False,False,False,False,True,2
1698,Town Square,1088888,1410,772.26,3,3,False,True,False,False,False,False,False,True,1
1699,Town Square,1088888,1365,797.72,3,3,False,False,False,False,False,False,False,True,1
1700,Jumeirah Lake Towers,650000,896,725.45,1,2,False,False,True,False,False,False,False,True,2
1701,Jumeirah Lake Towers,920000,1184,777.03,2,3,False,False,True,False,False,False,False,True,1
1702,Jumeirah Lake Towers,3000000,3593,834.96,3,4,True,False,False,False,False,False,False,True,0
1703,Jumeirah Beach Residence,3350000,3112,1076.48,4,4,True,True,False,False,False,False,False,True,0
1704,Palm Jumeirah,4400000,2398,1834.86,3,4,False,False,False,False,False,True,False,True,0
1705,Business Bay,480000,513,935.67,0,1,False,True,False,False,False,False,False,True,2
1706,Dubai Festival City,2100000,2267,926.33,3,4,True,False,False,False,False,False,False,True,1
1707,Jumeirah Beach Residence,695000,713,974.75,0,1,False,False,False,False,False,False,False,True,2
1708,Al Kifaf,2100000,1612,1302.73,2,2,False,True,False,False,False,False,False,True,1
1709,Jumeirah Beach Residence,2749000,2455,1119.76,4,5,True,True,True,False,False,False,False,True,0
1710,Al Sufouh,839000,906,926.05,1,2,False,False,False,False,False,False,False,False,2
1711,Jumeirah Beach Residence,5900000,1923,3068.12,2,3,False,True,False,False,False,False,False,True,0
1712,Dubai Marina,3000000,1867,1606.86,3,3,False,False,False,False,False,False,False,True,0
1713,Jumeirah Village Circle,711000,747,951.81,1,2,False,True,True,False,False,False,False,True,2
1714,Umm Suqeim,1444000,875,1650.29,1,1,False,False,False,False,False,False,False,True,2
1715,The Views,1750000,1642,1065.77,2,2,False,True,False,False,False,False,False,False,1
1716,Palm Jumeirah,3511888,1666,2107.98,3,3,False,True,False,False,False,False,False,False,0
1717,Palm Jumeirah,624888,321,1946.69,0,1,False,True,False,False,False,False,False,False,2
1718,Jumeirah,2270000,1216,1866.78,2,3,False,False,False,False,False,False,False,True,1
1719,Jumeirah Village Circle,1200000,1218,985.22,2,3,False,False,False,False,False,False,False,False,1
1720,Dubai Marina,1750000,2761,633.83,3,4,True,False,True,False,False,False,False,True,1
1721,Downtown Dubai,2150000,1367,1572.79,2,2,False,True,False,False,False,False,False,True,1
1722,Dubai Land,395000,1057,373.7,1,2,False,False,True,False,False,False,False,False,2
1723,Jumeirah Beach Residence,699999,713,981.77,0,1,False,False,False,False,False,False,False,False,2
1724,Dubai Hills Estate,896000,915,979.23,1,2,False,False,False,False,False,False,False,True,2
1725,Dubai Marina,777950,709,1097.25,1,1,False,True,False,False,False,False,False,True,2
1726,Motor City,600000,1044,574.71,1,2,False,False,False,False,False,False,False,True,2
1727,Dubai Marina,1000000,1305,766.28,2,3,False,True,True,False,False,False,False,True,1
1728,Culture Village,6800000,4070,1670.76,4,4,True,True,True,False,False,True,False,True,0
1729,Motor City,450000,625,720.0,0,1,False,False,False,False,False,False,False,True,2
1730,Al Barari,1307392,966,1353.41,1,2,False,False,False,False,False,False,False,False,2
1731,wasl gate,690777,730,946.27,2,2,False,True,False,False,False,False,False,True,2
1732,Dubai Sports City,330000,454,726.87,0,1,False,False,False,False,False,False,False,False,2
1733,Dubai Sports City,400000,709,564.17,1,2,False,False,False,False,False,False,False,False,2
1734,Palm Jumeirah,1850000,1296,1427.47,1,1,False,True,False,False,False,False,False,True,2
1735,Jumeirah Village Circle,650000,514,1264.59,0,1,False,False,False,False,False,False,False,True,2
1736,Meydan,1249999,1534,814.86,2,3,True,False,True,False,False,False,False,True,1
1737,DIFC,2500000,1757,1422.88,2,3,False,True,False,False,False,False,False,True,1
1738,Jumeirah Lake Towers,500000,620,806.45,1,1,False,False,True,False,False,False,False,True,2
1739,Al Sufouh,2000000,1783,1121.7,3,4,False,False,False,False,False,False,False,False,1
1740,Palm Jumeirah,1200000,1633,734.84,2,3,True,True,True,False,False,False,False,True,1
1741,Palm Jumeirah,1250000,791,1580.28,1,2,False,False,False,False,False,False,False,True,2
