,neighborhood,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,maid_room,concierge,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,shared_pool
24,Palm Jumeirah,8470000,5232,1618.88,3,3,True,True,False,False,False,False,False,True
25,Dubai Marina,2499000,2490,1003.61,3,4,False,True,True,False,False,False,False,True
26,Downtown Dubai,2800000,1712,1635.51,2,3,False,True,False,False,False,False,True,False
27,Dubai Marina,8500000,5079,1673.56,4,4,False,True,False,False,False,False,False,True
28,Downtown Dubai,1875000,1543,1215.17,2,3,False,False,False,False,False,False,False,True
29,Old Town,1275000,938,1359.28,1,2,False,False,False,False,False,False,False,False
30,Al Kifaf,1465777,999,1467.24,1,2,False,True,False,False,True,False,True,True
31,Palm Jumeirah,1260000,1646,765.49,2,3,False,False,False,False,False,False,False,False
32,Meydan,1386795,1084,1279.33,2,3,False,False,False,False,False,False,False,True
33,Culture Village,4500000,3048,1476.38,2,3,False,False,False,False,False,False,False,True
34,Arjan,750000,796,942.21,1,1,False,False,False,False,False,False,False,True
35,Arjan,991000,1162,852.84,2,2,False,False,False,False,False,False,False,True
36,Jumeirah Beach Residence,3599999,1966,1831.13,3,3,False,False,True,False,False,False,False,False
37,Dubai Marina,2625000,1786,1469.76,3,4,False,False,False,False,False,False,False,True
38,Dubai Creek Harbour (The Lagoons),1270000,900,1411.11,1,2,False,False,False,False,False,False,False,True
39,Dubai Creek Harbour (The Lagoons),1398000,1168,1196.92,1,2,False,False,True,False,False,False,False,False
40,Dubai Marina,1795000,1002,1791.42,1,2,False,False,False,False,False,False,False,True
41,Old Town,1600000,1221,1310.4,2,3,False,False,False,False,False,False,False,False
42,Palm Jumeirah,1050000,549,1912.57,0,1,False,False,False,False,False,False,False,True
43,Greens,1150000,1133,1015.0,2,2,False,False,False,False,False,False,False,False
44,City Walk,1800000,1191,1511.34,1,2,False,False,False,False,False,False,False,True
45,Al Furjan,1349999,1861,725.42,3,4,False,False,True,False,False,False,False,True
46,Dubai Creek Harbour (The Lagoons),1800000,1582,1137.8,2,3,False,False,False,False,False,False,False,False
47,Business Bay,2353146,1168,2014.68,2,3,False,False,False,False,False,False,False,True
